# libicucore u_getVersion=78.1 uloc_getDefault=en_US_POSIX; 36 BMP Line_Break=QU characters
# locale	behavior	quote	left	right	text(hex)	ubrk_open	openBinaryRules
# overrides (empty): U+201C->OP U+201D->CL U+2018->OP
(empty)	default	U+201D	sot/eot	NU 1	201D 0031	0 1 2	0 2	emulation-ok
(empty)	default	U+201D	sot/eot	OP (	201D 0028	0 1 2	0 2	emulation-ok
(empty)	default	U+201D	sot/eot	ID 中	201D 4E2D	0 1 2	0 2	emulation-ok
(empty)	default	U+201D	sot/eot	H2 가	201D AC00	0 1 2	0 2	emulation-ok
(empty)	default	U+201D	sot/eot	ID あ	201D 3042	0 1 2	0 2	emulation-ok
(empty)	default	U+201D	sot/eot	B2 —	201D 2014	0 1 2	0 2	emulation-ok
(empty)	default	U+201D	sot/eot	SA ก	201D 0E01	0 1 2	0 2	emulation-ok
(empty)	default	U+201D	AL a	AL a	0061 201D 0061	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	AL a	NU 1	0061 201D 0031	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	AL a	OP (	0061 201D 0028	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	AL a	ID 中	0061 201D 4E2D	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	AL a	H2 가	0061 201D AC00	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	AL a	ID あ	0061 201D 3042	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	AL a	B2 —	0061 201D 2014	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	AL a	SA ก	0061 201D 0E01	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	NU 1	AL a	0031 201D 0061	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	NU 1	NU 1	0031 201D 0031	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	NU 1	OP (	0031 201D 0028	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	NU 1	ID 中	0031 201D 4E2D	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	NU 1	H2 가	0031 201D AC00	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	NU 1	ID あ	0031 201D 3042	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	NU 1	B2 —	0031 201D 2014	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	NU 1	SA ก	0031 201D 0E01	0 2 3	0 3	emulation-ok
(empty)	default	U+201D	HY -	AL a	002D 201D 0061	0 2 3	0 3	emulation-ok
