language	serif	sans-serif	cursive	fantasy	monospace
mgh	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mgh-MZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mgo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mgo-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mi	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mi-NZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mic	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mic-CA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mid	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mid-IQ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mk	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mk-MK	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ml	Malayalam Sangam MN	Malayalam Sangam MN	Malayalam Sangam MN	Malayalam Sangam MN	Menlo
ml-IN	Malayalam Sangam MN	Malayalam Sangam MN	Malayalam Sangam MN	Malayalam Sangam MN	Menlo
mn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mn-MN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mni	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mni-Beng	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mni-Beng-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mni-Mtei	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mni-Mtei-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
moh	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
moh-CA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mr	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mr-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ms	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ms-Arab	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ms-Arab-BN	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ms-Arab-MY	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ms-BN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ms-ID	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ms-MY	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ms-SG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mt	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mt-MT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mua	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mua-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mus	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mus-US	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
my	Noto Sans Myanmar	Noto Sans Myanmar	Noto Sans Myanmar	Noto Sans Myanmar	Menlo
my-MM	Noto Sans Myanmar	Noto Sans Myanmar	Noto Sans Myanmar	Noto Sans Myanmar	Menlo
myv	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
myv-RU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mzn	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
mzn-IR	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
naq	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
naq-NA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nb	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
