language	serif	sans-serif	cursive	fantasy	monospace
es-VG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
es-VI	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
et	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
et-EE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
eu	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
eu-ES	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ewo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ewo-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
fa	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
fa-AF	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
fa-IR	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ff	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-BF	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-GH	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-GM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-GN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-GW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-LR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-MR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-NE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-NG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-SL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Adlm-SN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-BF	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-GH	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-GM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-GN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-GW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-LR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-MR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-NE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-NG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ff-Latn-SL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
